species	transcript_id	reference_id	strand	reference_pass	raw_correct	decoded_empty	decoded_correct	chain_class	raw_CDS_segments	reference_CDS_segments	shared_exact_suffix_segments	trim_removed_segments	oracle_emission	oracle_transition	oracle_total	oracle_total_positive	oracle_total_zero	recorded_transition
Cquinoa	C_Quinoa_Scaffold_2088_gene_988.t1	AUR62000827-RA.v1.0	+	True	1	0	1	exact_chain	12	12	12	0	37601.17379760742	16393.034672125985	53994.20846973341	1	0	correct_stays_correct
Cquinoa	C_Quinoa_Scaffold_2088_gene_1283.t1	AUR62001065-RA.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	37	35	9		81708.49511718753	49974.37153787606	131682.86665506358	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2088_gene_1284.t1	AUR62001066-RA.v1.0	+	True	1	0	1	exact_chain	5	5	5	0	40281.279296875	5457.846942667811	45739.12623954281	1	0	correct_stays_correct
Cquinoa	C_Quinoa_Scaffold_2127_gene_227.t1	AUR62019634-RA.v1.0	+	True	0	0	0	first_CDS_segment_replacement_only	6	6	5		5806.484130859375	7512.858171540419	13319.342302399793	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2371_gene_17.t1	AUR62041288-RA.v1.0	+	True	0	0	0	downstream_TIS_trim_existing_CDS_path	6	5	4	1	6500.609374999998	6858.948821915821	13359.55819691582	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2412_gene_91.t1	AUR62029013-RA.v1.0	-	True	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	39	39	7		-48561.20169067382	52707.20849327261	4146.006802598786	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2487_gene_132.t1	AUR62028017-RA.v1.0	-	False	0	1	0	first_CDS_segment_replacement_only	4	4	3		-7826.812499999993	4105.750205414391	-3721.062294585602	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2493_gene_126.t1	AUR62009613-RA.v1.0	-	True	0	1	0	first_CDS_segment_replacement_only	3	3	2		-10676.048828125	3413.4905487908645	-7262.558279334134	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2528_gene_24.t1	AUR62036201-RA.v1.0	-	False	0	1	0	no_shared_exact_terminal_CDS_segment	2	5	0		-59902.470947265625	1291.6667017004102	-58610.80424556521	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2596_gene_1.t1	AUR62043500-RA.v1.0	-	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	10	7	6		7981.530273437515	13038.475030019226	21020.005303456746	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2646_gene_616.t1	AUR62008018-RA.v1.0	-	True	1	1	0	exact_chain	4	4	4	0	-21467.326171875	5451.855063223351	-16015.471108651647	0	0	correct_to_wrong
Cquinoa	C_Quinoa_Scaffold_2654_gene_44.t1	AUR62033859-RA.v1.0	+	True	1	0	1	exact_chain	4	4	4	0	16441.64453125	5443.405336141011	21885.04986739101	1	0	correct_stays_correct
Cquinoa	C_Quinoa_Scaffold_2716_gene_906.t1	AUR62001826-RA.v1.0	-	True	0	1	0	downstream_TIS_trim_existing_CDS_path	3	2	1	1	-4461.109375	4102.865830344551	-358.2435446554491	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2742_gene_37.t1	AUR62034418-RA.v1.0	-	True	0	1	0	no_shared_exact_terminal_CDS_segment	4	6	0		-80806.20422363281	4029.868440807839	-76776.33578282499	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2773_gene_20.t1	AUR62025404-RA.v1.0	-	True	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	39	42	38		-113354.53283691405	52598.93176893677	-60755.60106797729	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2862_gene_58.t1	AUR62021343-RA.v1.0	-	True	0	1	0	no_shared_exact_terminal_CDS_segment	7	16	0		-48126.93228149414	8048.58312688212	-40078.34915461202	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2868_gene_90.t1	AUR62035283-RA.v1.0	-	False	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	6	6	2		-16346.859374999996	7501.009684945206	-8845.84969005479	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2868_gene_95.t1	AUR62035293-RA.v1.0	-	True	1	1	0	exact_chain	7	7	7	0	-10398.905273437502	9535.684814962695	-863.2204584748088	0	0	correct_to_wrong
Cquinoa	C_Quinoa_Scaffold_2909_gene_75.t1	AUR62035359-RA.v1.0	+	False	0	0	0	first_CDS_segment_replacement_only	6	6	5		22603.126434326172	7488.411419712904	30091.537854039074	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_2939_gene_66.t1	AUR62029294-RA.v1.0	-	True	1	1	0	exact_chain	5	5	5	0	-43094.42529296875	6809.004428546304	-36285.42086442245	0	0	correct_to_wrong
Cquinoa	C_Quinoa_Scaffold_3298_gene_151.t1	AUR62026315-RA.v1.0	+	True	0	0	0	first_CDS_segment_replacement_only	4	4	3		11895.3251953125	4103.4844430720395	15998.809638384539	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3333_gene_298.t1	AUR62011528-RA.v1.0	-	False	0	0	0	no_shared_exact_terminal_CDS_segment	5	2	0		3986.2099609375	5513.98421191668	9500.194172854182	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3379_gene_14.t1	AUR62042367-RA.v1.0	+	False	0	0	0	no_shared_exact_terminal_CDS_segment	2	5	0		3966.167449951172	1951.2777063655512	5917.445156316722	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3389_gene_148.t1	AUR62024006-RA.v1.0	-	False	0	1	0	downstream_TIS_trim_existing_CDS_path	8	7	6	1	-30652.560546875	10905.32630116715	-19747.23424570785	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3514_gene_121.t1	AUR62016347-RA.v1.0	-	False	0	1	0	no_shared_exact_terminal_CDS_segment	5	2	0		-8606.058837890625	5508.561055878943	-3097.497782011681	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3624_gene_11.t1	AUR62040579-RA.v1.0	-	False	0	0	0	first_CDS_segment_replacement_only	9	9	8		-9619.102539062507	11626.794701432085	2007.6921623695744	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3787_gene_278.t1	AUR62017121-RA.v1.0	+	False	0	0	0	no_shared_exact_terminal_CDS_segment	3	4	0		-99.82015991210938	2720.0503772476277	2620.2302173355174	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3799_gene_27.t1	AUR62010895-RA.v1.0	-	False	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	5	4	3		4269.968719482422	6120.214880859309	10390.183600341732	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3799_gene_200.t1	AUR62011041-RA.v1.0	+	True	0	0	0	downstream_TIS_trim_existing_CDS_path	5	4	4	1	12596.74853515625	5486.097260328783	18082.845795485035	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3820_gene_166.t1	AUR62004887-RA.v1.0	-	True	1	1	0	exact_chain	5	5	5	0	-25754.332092285156	5465.2864699516995	-20289.045622333455	0	0	correct_to_wrong
Cquinoa	C_Quinoa_Scaffold_3820_gene_167.t1	AUR62004888-RA.v1.0	-	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	38	37	11		-12730.068878173843	51325.368089054304	38595.29921088046	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3820_gene_215.t1	AUR62004931-RA.v1.0	+	True	0	0	0	first_CDS_segment_replacement_only	2	2	1		6798.56298828125	1362.9052304476534	8161.468218728904	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_3820_gene_481.t1	AUR62005147-RA.v1.0	-	True	0	0	0	no_shared_exact_terminal_CDS_segment	12	12	0		-30320.62017822265	15048.811250110773	-15271.808928111877	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4044_gene_13.t1	AUR62041668-RA.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	4	3	2		4093.438476562498	4796.059211510877	8889.497688073374	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4082_gene_50.t1	AUR62025008-RA.v1.0	-	True	0	1	0	no_shared_exact_terminal_CDS_segment	2	1	0		-442.09375	1381.38667797711	939.2929279771097	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4087_gene_102.t1	AUR62032427-RA.v1.0	+	True	0	0	0	no_shared_exact_terminal_CDS_segment	4	2	0		3412.8076171875	4131.924133781721	7544.731750969223	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4119_gene_64.t1	AUR62024144-RA.v1.0	-	True	0	1	0	no_shared_exact_terminal_CDS_segment	2	2	0		-24588.894531250004	1353.9271582332183	-23234.96737301679	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4209_gene_52.t1	AUR62033662-RA.v1.0	-	True	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	2	4	1		-28650.078125000004	1327.6220927036345	-27322.456032296366	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4244_gene_128.t1	AUR62026510-RA.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	4	5	3		11282.90673828125	4085.6868730347637	15368.593611316013	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4266_gene_84.t1	AUR62036615-RA.v1.0	-	True	0	1	0	no_shared_exact_terminal_CDS_segment	5	7	0		-18831.953125000004	5446.88628536255	-13385.066839637455	0	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4329_gene_10.t1	AUR62025166-RA.v1.0	+	False	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	39	38	7		81184.9248046875	52717.06714779054	133901.99195247804	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4480_gene_453.t1	AUR62002280-RA.v1.0	+	True	0	0	0	downstream_TIS_trim_existing_CDS_path	7	6	5	1	8569.161621093754	8228.083877097028	16797.24549819078	1	0	wrong_stays_wrong
Cquinoa	C_Quinoa_Scaffold_4480_gene_820.t1	AUR62002607-RA.v1.0	-	True	0	0	0	downstream_TIS_trim_existing_CDS_path	13	11	10	2	-36183.47616577149	17731.67697843583	-18451.799187335666	0	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_002_gene_183.t1	Oropetium_20150105_01561A.v1.0	-	True	1	1	0	exact_chain	5	5	5	0	-11563.12109375	6824.113446018172	-4739.007647731828	0	0	correct_to_wrong
Othomaeum	Oropetium_genomic_20141112_002_gene_808.t1	Oropetium_20150105_02210A.v1.0	-	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	4	5	3		-15810.856933593746	4764.993603964242	-11045.863329629505	0	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_002_gene_1054.t1	Oropetium_20150105_02457A.v1.0	+	True	0	0	0	no_shared_exact_terminal_CDS_segment	6	5	0		6736.6865234375	6858.857195445784	13595.543718883284	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_006_gene_508.t1	Oropetium_20150105_09034A.v1.0	-	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	5	4	2		-4000.49609375	6166.550796260146	2166.054702510145	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_007_gene_468.t1	Oropetium_20150105_06687A.v1.0	+	True	1	0	1	exact_chain	3	3	3	0	5684.927734375	4086.4164449844225	9771.344179359427	1	0	correct_stays_correct
Othomaeum	Oropetium_genomic_20141112_008_gene_477.t1	Oropetium_20150105_05981A.v1.0	+	False	0	0	0	no_shared_exact_terminal_CDS_segment	2	4	0		693.5184936523438	1968.5885006720773	2662.106994324422	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_010_gene_339.t1	Oropetium_20150105_03682A.v1.0	+	False	0	0	0	no_shared_exact_terminal_CDS_segment	49	37	0		75263.72558593751	66511.24657103725	141774.97215697478	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_010_gene_614.t1	Oropetium_20150105_04007A.v1.0	+	True	1	0	1	exact_chain	7	7	7	0	13376.145019531246	9561.871518774475	22938.01653830572	1	0	correct_stays_correct
Othomaeum	Oropetium_genomic_20141112_011_gene_42.t1	Oropetium_20150105_07999A.v1.0	+	False	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	5	4	3		11561.65185546875	6162.570479071527	17724.222334540274	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_011_gene_316.t1	Oropetium_20150105_08296A.v1.0	-	False	0	1	0	no_shared_exact_terminal_CDS_segment	6	2	0		852.23828125	8231.876821281796	9084.115102531794	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_013_gene_39.t1	Oropetium_20150105_10619A.v1.0	-	True	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	9	9	4		-10653.40625	10955.07330641702	301.66705641702174	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_013_gene_292.t1	Oropetium_20150105_10892A.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	6	4	3		-2906.257080078125	7555.18728441162	4648.930204333494	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_014_gene_53.t1	Oropetium_20150105_06884A.v1.0	-	True	1	1	0	exact_chain	4	4	4	0	-8971.21875	4106.408451292804	-4864.8102987071925	0	0	correct_to_wrong
Othomaeum	Oropetium_genomic_20141112_014_gene_438.t1	Oropetium_20150105_07295A.v1.0	+	True	1	0	1	exact_chain	5	5	5	0	9782.9892578125	6149.154619333138	15932.143877145638	1	0	correct_stays_correct
Othomaeum	Oropetium_genomic_20141112_015_gene_27.t1	Oropetium_20150105_13205A.v1.0	+	False	1	0	1	exact_chain	18	18	18	0	59329.94091796875	24612.115703191233	83942.05662115998	1	0	correct_stays_correct
Othomaeum	Oropetium_genomic_20141112_015_gene_312.t1	Oropetium_20150105_13500A.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	4	3	2		1780.22802734375	4797.556423000983	6577.784450344731	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_017_gene_8.t1	Oropetium_20150105_14079A.v1.0	-	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	4	3	2		1265.8995361328125	5433.292806725068	6699.192342857886	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_023_gene_185.t1	Oropetium_20150105_16055A.v1.0	+	True	1	0	1	exact_chain	6	6	6	0	11822.427246093743	8194.706738894902	20017.133984988646	1	0	correct_stays_correct
Othomaeum	Oropetium_genomic_20141112_023_gene_238.t1	Oropetium_20150105_16109A.v1.0	+	True	1	0	1	exact_chain	3	3	3	0	7595.165039062496	4084.8512366506898	11680.016275713187	1	0	correct_stays_correct
Othomaeum	Oropetium_genomic_20141112_036_gene_151.t1	Oropetium_20150105_16658A.v1.0	-	False	0	1	0	no_shared_exact_terminal_CDS_segment	3	4	0		-19390.849609375	2719.983533465509	-16670.866075909493	0	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_044_gene_243.t1	Oropetium_20150105_14725A.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	4	3	2		6076.782226562502	5450.953771761812	11527.735998324315	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_044_gene_277.t1	Oropetium_20150105_14756A.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	4	3	2		4153.704101562504	4795.977287980313	8949.681389542817	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_047_gene_214.t1	Oropetium_20150105_19073A.v1.0	-	True	0	1	0	multiple_prefix_segments_differ_shared_exact_suffix	5	4	3		-4629.585937499998	6166.9291002948685	1537.3431627948694	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_051_gene_138.t1	Oropetium_20150105_20161A.v1.0	+	True	0	0	0	no_shared_exact_terminal_CDS_segment	11	15	0		13730.599090576168	14297.451469861004	28028.050560437172	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_059_gene_17.t1	Oropetium_20150105_23407A.v1.0	+	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	7	4	3		8284.02099609375	8250.982019367742	16535.003015461494	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_061_gene_80.t1	Oropetium_20150105_16909A.v1.0	-	True	1	1	0	exact_chain	8	8	8	0	-28195.38671875	10928.731037825924	-17266.655680924072	0	0	correct_to_wrong
Othomaeum	Oropetium_genomic_20141112_063_gene_68.t1	Oropetium_20150105_18367A.v1.0	-	True	0	1	0	no_shared_exact_terminal_CDS_segment	5	2	0		420.44921875	5514.745270849888	5935.1944895998895	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_066_gene_171.t1	Oropetium_20150105_19564A.v1.0	+	True	0	0	0	no_shared_exact_terminal_CDS_segment	39	53	0		43235.95602416992	52535.798415578414	95771.75443974833	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_078_gene_19.t1	Oropetium_20150105_25552A.v1.0	-	False	0	1	0	no_shared_exact_terminal_CDS_segment	4	3	0		-2018.37890625	4794.443405810798	2776.064499560798	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_087_gene_114.t1	Oropetium_20150105_23383A.v1.0	+	True	0	0	0	downstream_TIS_trim_existing_CDS_path	7	5	4	2	722.58935546875	8921.51158349173	9644.100938960482	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_088_gene_70.t1	Oropetium_20150105_24164A.v1.0	+	False	0	0	0	no_shared_exact_terminal_CDS_segment	3	2	0		-746.726959228512	2746.2024983960137	1999.4755391675008	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_090_gene_67.t1	Oropetium_20150105_21333A.v1.0	+	False	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	8	7	3		13366.458007812504	10264.5939410128	23631.051948825305	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_091_gene_99.t1	Oropetium_20150105_22789A.v1.0	-	False	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	7	6	1		-2755.0517578125	8902.86342902377	6147.8116712112715	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_100_gene_70.t1	Oropetium_20150105_23716A.v1.0	-	True	1	1	0	exact_chain	3	3	3	0	-10355.18359375	4087.3636733561166	-6267.819920393883	0	0	correct_to_wrong
Othomaeum	Oropetium_genomic_20141112_100_gene_87.t1	Oropetium_20150105_23735A.v1.0	-	True	1	1	0	exact_chain	4	4	4	0	-11314.74609375	5456.59454310666	-5858.151550643341	0	0	correct_to_wrong
Othomaeum	Oropetium_genomic_20141112_105_gene_63.t1	Oropetium_20150105_25389A.v1.0	-	True	1	0	0	exact_chain	3	3	3	0	-12138.177734374998	4085.068607289311	-8053.109127085689	0	0	correct_to_wrong
Othomaeum	Oropetium_genomic_20141112_122_gene_35.t1	Oropetium_20150105_25780A.v1.0	-	False	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	53	38	4		-30831.337524414062	72057.42390432394	41226.08637990987	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_386_gene_2.t1	Oropetium_20150105_27790A.v1.0	-	False	0	0	0	no_shared_exact_terminal_CDS_segment	3	4	0		7699.90966796875	3393.304213655167	11093.213881623917	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_474_gene_5.t1	Oropetium_20150105_27310A.v1.0	-	False	0	0	0	no_shared_exact_terminal_CDS_segment	7	7	0		2954.157714843749	8213.435215121097	11167.592929964845	1	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_476_gene_5.t1	Oropetium_20150105_27770A.v1.0	-	True	0	0	0	no_shared_exact_terminal_CDS_segment	2	2	0		-4202.4248046875	1370.7020832249664	-2831.7227214625345	0	0	wrong_stays_wrong
Othomaeum	Oropetium_genomic_20141112_517_gene_2.t1	Oropetium_20150105_27944A.v1.0	-	True	0	0	0	multiple_prefix_segments_differ_shared_exact_suffix	7	7	2		12943.23291015625	9561.881835308648	22505.114745464896	1	0	wrong_stays_wrong
Rcommunis	27985_gene_9.t1	27985.m000848.TIGRR0.1	+	False	0	0	0	no_shared_exact_terminal_CDS_segment	6	7	0		4014.570068359375	6834.880490203282	10849.450558562656	1	0	wrong_stays_wrong
Rcommunis	28694_gene_12.t1	28694.m000671.TIGRR0.1	-	True	1	1	0	exact_chain	23	23	23	0	-43227.751953125015	30119.192763068433	-13108.559190056578	0	0	correct_to_wrong
Rcommunis	28748_gene_10.t1	28748.m000216.TIGRR0.1	+	True	0	0	0	no_shared_exact_terminal_CDS_segment	9	9	0		9692.764526367188	11628.058483040966	21320.823009408155	1	0	wrong_stays_wrong
